country,year,gdp,population,energy_per_capita,coal_co2,oil_co2,gas_co2,total_ghg,methane,cement_co2,co2
Argentina,1990,3.39E+11,32755907,15718.703,3.14,59.188,43.213,312.334,122.548,1.822,112.149
Argentina,1991,3.76E+11,33230292,15747.927,2.939,61.233,47.284,346.004,122.05,2.196,117.755
Argentina,1992,4.17E+11,33693532,16661.842,3.107,63.633,48.303,342.419,124.153,2.495,121.535
Argentina,1993,4.45E+11,34152718,16981.766,2.528,67.152,40.807,335.297,123.987,2.761,118.001
Argentina,1994,4.73E+11,34613491,17651.035,3.561,67.203,42.677,337.789,125.816,3.05,118.469
Argentina,1995,4.62E+11,35070016,17977.289,3.741,62.834,53.194,347.306,128.135,2.621,125.277
Argentina,1996,4.89E+11,35513794,18568.533,3.114,65.921,57.542,350.828,124.795,2.422,131.15
Argentina,1997,5.32E+11,35947790,18560.299,2.807,66.868,61.504,358.378,125.23,3.169,136.553
Argentina,1998,5.55E+11,36372863,18999.846,3.155,69.576,61.614,360.215,122.855,3.283,139.32
Argentina,1999,5.38E+11,36794686,18990.684,2.788,72.723,67.619,375.176,127.468,3.29,148.304
Argentina,2000,5.36E+11,37213985,18849.811,2.36,67.434,69.438,376.635,128.914,2.771,143.469
Argentina,2001,5.15E+11,37624818,18210.119,2.008,64.334,64.807,375.235,128.149,2.481,135.137
Argentina,2002,4.61E+11,38029346,17275.256,1.579,57.495,62.618,438.218,131.581,1.729,124.931
Argentina,2003,5.03E+11,38424284,18326.521,2.48,59.355,69.068,496.371,140.466,2.28,134.481
Argentina,2004,5.50E+11,38815915,19261.457,2.532,67.813,82.913,548.137,142.708,2.701,157.049
Argentina,2005,6.01E+11,39216787,20232.844,3.668,71.8,81.967,561.961,140.585,3.241,161.589
Argentina,2006,6.52E+11,39622113,21038.723,3.968,81.911,83.867,578.216,143.171,3.764,174.309
Argentina,2007,7.15E+11,40016766,21708.369,3.759,77.952,87.178,509.561,139.471,3.998,173.581
Argentina,2008,7.47E+11,40424149,21780.381,3.975,88.658,90.12,489.573,137.055,3.99,187.342
Argentina,2009,7.06E+11,40854832,20954.273,3.305,82.38,87.993,581.036,130.646,3.81,178.181
Argentina,2010,7.86E+11,41288694,21507.703,4.082,90.145,86.928,532.046,121.533,4.178,185.946
Argentina,2011,8.38E+11,41730655,21894.867,4.825,86.906,92.586,530.076,120.203,4.586,189.775
